cold 32c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x00, 0x3A, 0x00, 0x00, 0x01, 0x00, 0x77
cold 31c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x00, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x76
cold 30c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x01, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x77
cold 29c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x02, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x78
cold 28c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x03, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x79
cold 27c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x04, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x7A
cold 26c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x05, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x7B
cold 25c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x06, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x7C
cold 24c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x07, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x7D
cold 23c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x08, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x7E
cold 22c, fan 1/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x09, 0x3A, 0x00, 0x00, 0x00, 0x00, 0x7F
cold 22c, fan 2/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x09, 0x3B, 0x00, 0x00, 0x00, 0x00, 0x80
cold 22c, fan 3/3 = 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x09, 0x3D, 0x00, 0x00, 0x00, 0x00, 0x82
cold 22c, fan auto= 0x23, 0xCB, 0x26, 0x01, 0x00, 0x24, 0x03, 0x09, 0x38, 0x00, 0x00, 0x00, 0x00, 0x7D
